id;description;requested_by;recommended_by;reviewed_by;first_approver;second_approver;third_approver;fourth_approver
1;Bahamas;9415;ubiquitous interactive;Buckinghamshire Fantastic;Stravenue seize;index;teal sky blue Gorgeous;1080p Indiana
2;project withdrawal;19584;Global Cape Verde Ridge;back-end methodology;customized Product Chips;Rubber green;customized;invoice Gloves schemas
3;Executive SCSI;11764;firewall toolset Administrator;Liaison Saint Helena Pound;challenge Agent;systems Keyboard Clothing;Sleek Clothing;Dynamic Fantastic matrix
4;cutting-edge;29648;Global Handmade copy;Turnpike quantifying Harbor;Networked transmitting;back-end Bike bandwidth;Ergonomic program platforms;out-of-the-box Extension calculate
5;e-commerce Louisiana;73806;online parsing Proactive;Soft;Incredible open architecture Movies;Mouse SMTP Vision-oriented;Gorgeous Steel Tuna cross-media XML;frame
6;Small Soft Gloves;40830;reboot Human;transmit;Handcrafted Fresh Ball invoice SMTP;Florida;deploy;Flats AI
7;Cotton web services;80235;Landing;Practical Soft Chair;Specialist Fresh card;Internal synthesize optical;Strategist;hard drive migration
8;Falkland Islands (Malvinas) invoice Courts;21844;Granite Ergonomic Concrete Bike Small Rubber Shoes;secured line;Incredible Focused;quantify Ergonomic Fresh Salad SCSI;matrices visionary Officer;Awesome Streamlined
9;4th generation interfaces zero tolerance;78916;Nebraska deposit Streamlined;Investment Account;bandwidth;Lead Vatu;Refined Frozen Towels Beauty North Korean Won;support
10;Springs Rubber;34081;Table Soap Web;South Carolina Pakistan Rupee;Malagasy Ariary;Intelligent;online Technician;Response
